Kabupaten/Kota,,
,Banyaknya Usaha Mikro dan Kecil menurut Kabupaten/Kota (Unit),
,2021,2022
Bogor,45013,43138
Sukabumi,51796,51307
Cianjur,44089,36331
Bandung,40136,41220
Garut,62842,69365
Tasikmalaya,46132,77632
Ciamis,29628,30454
Kuningan,16180,11317
Cirebon,18053,21939
Majalengka,26634,33468
Sumedang,19160,24739
Indramayu,16481,18946
Subang,18014,16958
Purwakarta,14504,13486
Karawang,14239,15410
Bekasi,20610,19111
Bandung Barat,22366,20213
Pangandaran,12906,32043
Kota Bogor,5669,4620
Kota Sukabumi,5392,5787
Kota Bandung,22230,18174
Kota Cirebon,4767,4335
Kota Bekasi,10824,8971
Kota Depok,13916,11429
Kota Cimahi,6552,6087
Kota Tasikmalaya,30306,26706
Kota Banjar,3786,4609
Provinsi Jawa Barat,622225,667795
