id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pdrb_adhk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,110665,MILIAR RUPIAH,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,33517,MILIAR RUPIAH,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,22883,MILIAR RUPIAH,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,57691,MILIAR RUPIAH,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,29138,MILIAR RUPIAH,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17991,MILIAR RUPIAH,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16027,MILIAR RUPIAH,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11649,MILIAR RUPIAH,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,25042,MILIAR RUPIAH,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15013,MILIAR RUPIAH,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17195,MILIAR RUPIAH,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,52859,MILIAR RUPIAH,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,21431,MILIAR RUPIAH,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,34216,MILIAR RUPIAH,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,120295,MILIAR RUPIAH,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,186207,MILIAR RUPIAH,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,22937,MILIAR RUPIAH,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5733,MILIAR RUPIAH,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,22485,MILIAR RUPIAH,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6302,MILIAR RUPIAH,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,129005,MILIAR RUPIAH,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,11864,MILIAR RUPIAH,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,49741,MILIAR RUPIAH,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,32806,MILIAR RUPIAH,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,16072,MILIAR RUPIAH,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10962,MILIAR RUPIAH,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,2374,MILIAR RUPIAH,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,11734,MILIAR RUPIAH,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,35521,MILIAR RUPIAH,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,24042,MILIAR RUPIAH,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,611,MILIAR RUPIAH,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,30542,MILIAR RUPIAH,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1885,MILIAR RUPIAH,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16839,MILIAR RUPIAH,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12385,MILIAR RUPIAH,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,26313,MILIAR RUPIAH,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15751,MILIAR RUPIAH,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18005,MILIAR RUPIAH,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,55464,MILIAR RUPIAH,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,22506,MILIAR RUPIAH,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,36177,MILIAR RUPIAH,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,126749,MILIAR RUPIAH,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,197164,MILIAR RUPIAH,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,24265,MILIAR RUPIAH,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5974,MILIAR RUPIAH,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,23835,MILIAR RUPIAH,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,6644,MILIAR RUPIAH,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,138961,MILIAR RUPIAH,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,12541,MILIAR RUPIAH,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,52534,MILIAR RUPIAH,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,35193,MILIAR RUPIAH,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,16955,MILIAR RUPIAH,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11637,MILIAR RUPIAH,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,2492,MILIAR RUPIAH,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,124487,MILIAR RUPIAH,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37265,MILIAR RUPIAH,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25352,MILIAR RUPIAH,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64702,MILIAR RUPIAH,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,31919,MILIAR RUPIAH,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19662,MILIAR RUPIAH,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1778,MILIAR RUPIAH,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,13176,MILIAR RUPIAH,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,27596,MILIAR RUPIAH,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16591,MILIAR RUPIAH,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1895,MILIAR RUPIAH,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,56663,MILIAR RUPIAH,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,23697,MILIAR RUPIAH,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,37899,MILIAR RUPIAH,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,132454,MILIAR RUPIAH,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,20595,MILIAR RUPIAH,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25486,MILIAR RUPIAH,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6271,MILIAR RUPIAH,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,25299,MILIAR RUPIAH,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,6985,MILIAR RUPIAH,2015
