id,kode_provinsi,nama_provinsi,daerah,jumlah_pengangguran_terbuka,satuan,tahun
1,32,JAWA BARAT,PERKOTAAN,1282109,JIWA,2011
2,32,JAWA BARAT,PERDESAAN,619734,JIWA,2011
3,32,JAWA BARAT,PERKOTAAN,1205766,JIWA,2012
4,32,JAWA BARAT,PERDESAAN,623220,JIWA,2012
5,32,JAWA BARAT,PERKOTAAN,1186718,JIWA,2013
6,32,JAWA BARAT,PERDESAAN,701949,JIWA,2013
7,32,JAWA BARAT,PERKOTAAN,1142124,JIWA,2014
8,32,JAWA BARAT,PERDESAAN,633072,JIWA,2014
9,32,JAWA BARAT,PERKOTAAN,1292937,JIWA,2015
10,32,JAWA BARAT,PERDESAAN,501937,JIWA,2015
11,32,JAWA BARAT,PERKOTAAN,1339975,JIWA,2016
12,32,JAWA BARAT,PERDESAAN,533886,JIWA,2016
13,32,JAWA BARAT,PERKOTAAN,1451820,JIWA,2017
14,32,JAWA BARAT,PERDESAAN,387608,JIWA,2017
15,32,JAWA BARAT,PERKOTAAN,1403122,JIWA,2018
16,32,JAWA BARAT,PERDESAAN,445112,JIWA,2018
17,32,JAWA BARAT,PERKOTAAN,1462663,JIWA,2019
18,32,JAWA BARAT,PERDESAAN,438835,JIWA,2019
19,32,JAWA BARAT,PERKOTAAN,2054009,JIWA,2020
20,32,JAWA BARAT,PERDESAAN,479067,JIWA,2020
21,32,JAWA BARAT,PERKOTAAN,2034163,JIWA,2021
22,32,JAWA BARAT,PERDESAAN,395984,JIWA,2021
23,32,JAWA BARAT,PERKOTAAN,1776102,JIWA,2022
24,32,JAWA BARAT,PERDESAAN,349504,JIWA,2022
25,32,JAWA BARAT,PERKOTAAN,1582406,JIWA,2023
26,32,JAWA BARAT,PERDESAAN,305881,JIWA,2023
