id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pdrb_adhb_per_kapita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,35153,RIBU RUPIAH,2017
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,22825,RIBU RUPIAH,2017
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,17094,RIBU RUPIAH,2017
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,28124,RIBU RUPIAH,2017
5,32,JAWA BARAT,3205,KABUPATEN GARUT,18552,RIBU RUPIAH,2017
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17474,RIBU RUPIAH,2017
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22458,RIBU RUPIAH,2017
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19157,RIBU RUPIAH,2017
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,19411,RIBU RUPIAH,2017
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21283,RIBU RUPIAH,2017
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25853,RIBU RUPIAH,2017
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,40827,RIBU RUPIAH,2017
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,21926,RIBU RUPIAH,2017
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,62074,RIBU RUPIAH,2017
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,85226,RIBU RUPIAH,2017
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,80520,RIBU RUPIAH,2017
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,24125,RIBU RUPIAH,2017
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,23794,RIBU RUPIAH,2017
19,32,JAWA BARAT,3271,KOTA BOGOR,35595,RIBU RUPIAH,2017
20,32,JAWA BARAT,3272,KOTA SUKABUMI,32581,RIBU RUPIAH,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,96123,RIBU RUPIAH,2017
22,32,JAWA BARAT,3274,KOTA CIREBON,63261,RIBU RUPIAH,2017
23,32,JAWA BARAT,3275,KOTA BEKASI,29139,RIBU RUPIAH,2017
24,32,JAWA BARAT,3276,KOTA DEPOK,25907,RIBU RUPIAH,2017
25,32,JAWA BARAT,3277,KOTA CIMAHI,44219,RIBU RUPIAH,2017
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27617,RIBU RUPIAH,2017
27,32,JAWA BARAT,3279,KOTA BANJAR,21100,RIBU RUPIAH,2017
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,37535,RIBU RUPIAH,2018
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25040,RIBU RUPIAH,2018
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,19009,RIBU RUPIAH,2018
