id,kode_provinsi,nama_provinsi,nama_kabupaten_luas,luas_daerah_km2,satuan,tahun
1,32,JAWA BARAT,BOGOR,2710.62,km2,2022
2,32,JAWA BARAT,SUKABUMI,4145.7,km2,2022
3,32,JAWA BARAT,CIANJUR,3840.16,km2,2022
4,32,JAWA BARAT,BANDUNG,1767.96,km2,2022
5,32,JAWA BARAT,GARUT,3074.07,km2,2022
6,32,JAWA BARAT,TASIKMALAYA,2551.19,km2,2022
7,32,JAWA BARAT,CIAMIS,1414.71,km2,2022
8,32,JAWA BARAT,KUNINGAN,1110.56,km2,2022
9,32,JAWA BARAT,CIREBON,984.52,km2,2022
10,32,JAWA BARAT,MAJALENGKA,1204.24,km2,2022
11,32,JAWA BARAT,SUMEDANG,1518.33,km2,2022
12,32,JAWA BARAT,INDRAMAYU,2040.11,km2,2022
13,32,JAWA BARAT,SUBANG,1893.95,km2,2022
14,32,JAWA BARAT,PURWAKARTA,825.74,km2,2022
15,32,JAWA BARAT,KARAWANG,1652.2,km2,2022
16,32,JAWA BARAT,BEKASI,1224.88,km2,2022
17,32,JAWA BARAT,BANDUNG BARAT,1305.77,km2,2022
18,32,JAWA BARAT,PANGANDARAN,1010,km2,2022
19,32,JAWA BARAT,KOTA BOGOR,118.5,km2,2022
20,32,JAWA BARAT,KOTA SUKABUMI,48.25,km2,2022
21,32,JAWA BARAT,KOTA BANDUNG,167.67,km2,2022
22,32,JAWA BARAT,KOTA CIREBON,37.36,km2,2022
23,32,JAWA BARAT,KOTA BEKASI,206.61,km2,2022
24,32,JAWA BARAT,KOTA DEPOK,200.29,km2,2022
25,32,JAWA BARAT,KOTA CIMAHI,39.27,km2,2022
26,32,JAWA BARAT,KOTA TASIKMALAYA,171.61,km2,2022
27,32,JAWA BARAT,KOTA BANJAR,113.49,km2,2022
